volts,SOC
1.4,0.00117096
1.3997199439887975,0.00117096
1.3994398879775953,0.00117096
1.3991598319663932,0.00117096
1.3988797759551908,0.00117096
1.3985997199439886,0.00117096
1.3983196639327864,0.00117096
1.398039607921584,0.00117096
1.3977595519103818,0.00117096
1.3974794958991796,0.00117096
1.3971994398879775,0.00117096
1.396919383876775,0.00117096
1.3966393278655729,0.00117096
1.3963592718543707,0.00117096
1.3960792158431685,0.00117096
1.3957991598319661,0.00117096
1.395519103820764,0.00117096
1.3952390478095618,0.00117096
1.3949589917983594,0.00117096
1.3946789357871572,0.00117096
1.394398879775955,0.00117096
1.3941188237647528,0.00117096
1.3938387677535504,0.00117096
1.3935587117423482,0.00117096
1.393278655731146,0.00117096
1.3929985997199439,0.00117096
1.3927185437087415,0.00117096
1.3924384876975393,0.00117096
1.3921584316863371,0.00117096
1.3918783756751347,0.00117096
1.3915983196639325,0.00117096
1.3913182636527304,0.00117096
1.3910382076415282,0.00117096
1.3907581516303258,0.00117096
1.3904780956191236,0.00117096
1.3901980396079214,0.00117096
1.389917983596719,0.00117096
1.3896379275855169,0.00117096
1.3893578715743147,0.00117096
1.3890778155631125,0.00117096
1.38879775955191,0.00117096
1.388517703540708,0.00117096
1.3882376475295057,0.00117096
1.3879575915183036,0.00117096
1.3876775355071012,0.00117096
1.387397479495899,0.00117096
1.3871174234846968,0.00117096
1.3868373674734944,0.00117096
1.3865573114622922,0.00117096
1.38627725545109,0.00117096
1.3859971994398879,0.00117096
1.3857171434286855,0.00117096
1.3854370874174833,0.00117096
1.385157031406281,0.00117096
1.3848769753950787,0.00117096
1.3845969193838765,0.00117096
1.3843168633726743,0.00117096
1.3840368073614722,0.00117096
1.3837567513502698,0.00117096
1.3834766953390676,0.00117096
1.3831966393278654,0.00117096
1.3829165833166632,0.00117096
1.3826365273054608,0.00117096
1.3823564712942586,0.00117096
1.3820764152830565,0.00117096
1.381796359271854,0.00117096
1.381516303260652,0.00117096
1.3812362472494497,0.00117096
