,SOC,volts
0,0.0,1.1900490899999994
1,0.002506265664160401,0.8635928568348291
2,0.005012531328320802,0.7373739298083906
3,0.007518796992481203,0.6671636362818321
4,0.010025062656641603,0.6172190218166383
5,0.012531328320802004,0.5768533329417289
6,0.015037593984962405,0.5428377566674758
7,0.017543859649122806,0.5132440834125628
8,0.020050125313283207,0.48697249859810793
9,0.022556390977443608,0.4633002515813732
10,0.02506265664160401,0.44176428877031215
11,0.02756892230576441,0.4221063050206158
12,0.03007518796992481,0.4041343298035414
13,0.03258145363408521,0.3877176862939601
14,0.03508771929824561,0.37277438422750403
15,0.03759398496240601,0.35921365099624064
16,0.040100250626566414,0.3469387395488723
17,0.042606516290726815,0.33590096266917274
18,0.045112781954887216,0.3259924257070096
19,0.047619047619047616,0.3171198971889401
20,0.05012531328320802,0.30921691548387087
21,0.05263157894736842,0.3022007352122241
22,0.05513784461152882,0.2960041555178269
23,0.05764411027568922,0.29055810704098955
24,0.06015037593984962,0.28566746631578954
25,0.06265664160401002,0.2811424128759399
26,0.06516290726817042,0.2767629125636672
27,0.06766917293233082,0.27243357359727455
28,0.07017543859649122,0.26811126207130737
29,0.07268170426065163,0.2638115065316519
30,0.07518796992481203,0.2595799995901043
31,0.07769423558897243,0.25544662663837014
32,0.08020050125313283,0.2513922017560031
33,0.08270676691729323,0.24741774970409894
34,0.08521303258145363,0.24355810250060636
35,0.08771929824561403,0.23976019461799672
36,0.09022556390977443,0.23600747652195
37,0.09273182957393483,0.23232577054511278
38,0.09523809523809523,0.22867037642857144
39,0.09774436090225563,0.22503472416201803
40,0.10025062656641603,0.22143506655105497
41,0.10275689223057644,0.21790699201552263
42,0.10526315789473684,0.21452325667232605
43,0.10776942355889724,0.21144390740237684
44,0.11027568922305764,0.20893682378122724
45,0.11278195488721804,0.2071228413558089
46,0.11528822055137844,0.20591309432330826
47,0.11779448621553884,0.20510655973805483
48,0.12030075187969924,0.20452679469924814
49,0.12280701754385964,0.20405535142614603
50,0.12531328320802004,0.20362972676691732
51,0.12781954887218044,0.20321965161047784
52,0.13032581453634084,0.20281384147707981
