time/s,Ecell/V,Capacity/mA.h,cycle number,Q discharge/mA.h,Q charge/mA.h
3610.438171486603,2,0.00,0.0,0.0,0.0002171765227243305
3610.438171486603,2.9876578,0.0002171765227243305,0.0,0.0,0.0002171765227243305
3613.710171642015,2.9846258,0.0002854928332443039,0.0,0.0,0.0002854928332443039
3616.308171765413,2.9815941,0.0003397366530613767,0.0,0.0,0.0003397366530613767
3619.308171907905,2.9785624,0.0004023738843989042,0.0,0.0,0.0004023738843989042
3623.176172091626,2.9755306,0.0004831342789406579,0.0,0.0,0.0004831342789406579
3627.850172313629,2.9724989,0.0005807231506663893,0.0,0.0,0.0005807231506663893
3632.850172551116,2.9698215,0.0006851186245431503,0.0,0.0,0.0006851186245431503
3637.850172788603,2.9676952,0.0007895140514522791,0.0,0.0,0.0007895140514522791
3642.85017302609,2.9657264,0.0008939095898055368,0.0,0.0,0.0008939095898055368
3647.850173263578,2.963994,0.0009983050756984288,0.0,0.0,0.0009983050756984288
3652.850173501065,2.9622221,0.001102700548585918,0.0,0.0,0.001102700548585918
3657.850173738552,2.9606473,0.001207096011547579,0.0,0.0,0.001207096011547579
3662.85017397604,2.9592297,0.001311491727121174,0.0,0.0,0.001311491727121174
3667.850174213527,2.9579699,0.001415887130921086,0.0,0.0,0.001415887130921086
3672.850174451014,2.9566312,0.001520282510672179,0.0,0.0,0.001520282510672179
3677.850174688501,2.9555287,0.001624678111349543,0.0,0.0,0.001624678111349543
3682.850174925989,2.954308,0.001729074037940138,0.0,0.0,0.001729074037940138
3687.850175163476,2.9533632,0.001833469572009312,0.0,0.0,0.001833469572009312
3692.850175400963,2.9522607,0.001937865278762248,0.0,0.0,0.001937865278762248
3697.85017563845,2.9513943,0.002042261099215183,0.0,0.0,0.002042261099215183
3702.850175875938,2.9504101,0.002146656822425624,0.0,0.0,0.002146656822425624
3707.850176113425,2.949544,0.002251052543516789,0.0,0.0,0.002251052543516789
3712.850176350912,2.9486775,0.002355448426364197,0.0,0.0,0.002355448426364197
3717.850176588399,2.9478507,0.002459844076211254,0.0,0.0,0.002459844076211254
3722.850176825887,2.9469845,0.002564239779702492,0.0,0.0,0.002564239779702492
3727.850177063374,2.9462757,0.002668635373889572,0.0,0.0,0.002668635373889572
3732.850177300861,2.9455671,0.002773031068551872,0.0,0.0,0.002773031068551872
3737.850177538348,2.944819,0.002877426602521705,0.0,0.0,0.002877426602521705
3742.850177775836,2.9442284,0.002981821976920797,0.0,0.0,0.002981821976920797
3747.850178013323,2.9435589,0.003086217366622554,0.0,0.0,0.003086217366622554
3752.85017825081,2.942929,0.003190612875508766,0.0,0.0,0.003190612875508766
3757.850178488297,2.9422202,0.003295008492689166,0.0,0.0,0.003295008492689166
3762.850178725785,2.9416296,0.003399403858110309,0.0,0.0,0.003399403858110309
3767.850178963272,2.9410391,0.003503799093609883,0.0,0.0,0.003503799093609883
3772.850179200759,2.9404485,0.003608194229524169,0.0,0.0,0.003608194229524169
3777.850179438246,2.9399366,0.003712589582920903,0.0,0.0,0.003712589582920903
3782.850179675734,2.9395034,0.003816984824885925,0.0,0.0,0.003816984824885925
3787.850179913221,2.9389129,0.00392137999686516,0.0,0.0,0.00392137999686516
3792.850180150708,2.9384799,0.004025775350419184,0.0,0.0,0.004025775350419184
3797.850180388195,2.937968,0.004130170762981806,0.0,0.0,0.004130170762981806
3802.850180625683,2.9375741,0.004234566223712432,0.0,0.0,0.004234566223712432
3807.85018086317,2.9370229,0.004338961614391043,0.0,0.0,0.004338961614391043
3812.850181100657,2.9366686,0.004443356648588347,0.0,0.0,0.004443356648588347
3817.850181338144,2.9361567,0.004547751798724964,0.0,0.0,0.004547751798724964
3822.850181575632,2.9357629,0.004652147243010502,0.0,0.0,0.004652147243010502
3827.850181813119,2.9353693,0.004756542677457135,0.0,0.0,0.004756542677457135
