Specific Capacity (mAh/g),Voltage (V),Step Name,Step_ID
0,2,CC_Chg,1
0.08430702,3.14479748,CC_Chg,1
0.5046547,3.1157072,CC_Chg,1
1.55552389,3.07819604,CC_Chg,1
2.60639308,3.05905769,CC_Chg,1
4.28778379,3.04374702,CC_Chg,1
5.12847915,3.04374702,CC_Chg,1
10.8031728,3.03456061,CC_Chg,1
13.9557804,3.04374702,CC_Chg,1
15.2168234,3.04374702,CC_Chg,1
16.0575188,3.04374702,CC_Chg,1
18.1592571,3.05293342,CC_Chg,1
19.4203002,3.05293342,CC_Chg,1
20.4711694,3.05293342,CC_Chg,1
22.3627339,3.06211983,CC_Chg,1
23.623777,3.06211983,CC_Chg,1
25.7255153,3.07130623,CC_Chg,1
26.7763845,3.07130623,CC_Chg,1
28.6679491,3.08049264,CC_Chg,1
29.5086444,3.08049264,CC_Chg,1
31.1900351,3.08967905,CC_Chg,1
33.2917735,3.09886545,CC_Chg,1
34.1324689,3.09886545,CC_Chg,1
36.2342073,3.10805186,CC_Chg,1
37.915598,3.11723827,CC_Chg,1
39.176641,3.12183147,CC_Chg,1
40.2275102,3.12642467,CC_Chg,1
42.5394224,3.13561108,CC_Chg,1
43.8004655,3.14020428,CC_Chg,1
44.8513347,3.14479748,CC_Chg,1
46.7428992,3.15398389,CC_Chg,1
48.8446376,3.1631703,CC_Chg,1
51.3667237,3.1723567,CC_Chg,1
53.0481144,3.18154311,CC_Chg,1
55.1498528,3.19226058,CC_Chg,1
57.8821127,3.20910233,CC_Chg,1
59.1431557,3.21828873,CC_Chg,1
60.6143726,3.23053728,CC_Chg,1
61.8754156,3.24125475,CC_Chg,1
63.1364586,3.25197222,CC_Chg,1
64.8178493,3.26881397,CC_Chg,1
66.49924,3.28718678,CC_Chg,1
67.7602831,3.29790425,CC_Chg,1
69.0213261,3.31321493,CC_Chg,1
70.0721953,3.3239324,CC_Chg,1
71.5434122,3.34230522,CC_Chg,1
72.8044552,3.35914696,CC_Chg,1
74.0654982,3.3713955,CC_Chg,1
75.3265413,3.38823725,CC_Chg,1
76.5875843,3.40507899,CC_Chg,1
78.268975,3.42498287,CC_Chg,1
79.530018,3.44182462,CC_Chg,1
81.2114088,3.46325957,CC_Chg,1
82.4724518,3.47857024,CC_Chg,1
84.1538425,3.50000519,CC_Chg,1
85.4148855,3.51684693,CC_Chg,1
87.0962762,3.53521975,CC_Chg,1
88.3573193,3.55206149,CC_Chg,1
89.4081885,3.56277897,CC_Chg,1
90.8794053,3.58115178,CC_Chg,1
92.560796,3.60105566,CC_Chg,1
93.8218391,3.61636634,CC_Chg,1
95.0828821,3.62708381,CC_Chg,1
96.3439251,3.64392555,CC_Chg,1
98.0253159,3.66229837,CC_Chg,1
99.2863589,3.67454691,CC_Chg,1
100.547402,3.69138865,CC_Chg,1
102.228793,3.70976146,CC_Chg,1
103.910183,3.72813428,CC_Chg,1
105.591574,3.74803816,CC_Chg,1
106.852617,3.76334883,CC_Chg,1
108.534008,3.78325271,CC_Chg,1
110.215398,3.80315659,CC_Chg,1
111.476442,3.81999834,CC_Chg,1
112.737485,3.83684008,CC_Chg,1
113.998528,3.85215076,CC_Chg,1
115.259571,3.87052357,CC_Chg,1
116.31044,3.88430318,CC_Chg,1
117.571483,3.90267599,CC_Chg,1
119.0427,3.92257988,CC_Chg,1
120.093569,3.93942162,CC_Chg,1
121.564786,3.9593255,CC_Chg,1
122.825829,3.97616724,CC_Chg,1
124.086872,3.99454006,CC_Chg,1
125.347915,3.99760219,CC_Chg,1
0,3.99913326,CC_DChg,2
0.504654697,3.948608026,CC_DChg,2
1.76569773,3.916455604,CC_DChg,2
3.026740762,3.898082792,CC_DChg,2
4.287783794,3.870523573,CC_DChg,2
6.179348342,3.838371152,CC_DChg,2
7.650565213,3.815405136,CC_DChg,2
9.121782084,3.792439121,CC_DChg,2
10.38282512,3.774066308,CC_DChg,2
11.85404199,3.755693496,CC_DChg,2
13.11508502,3.737320683,CC_DChg,2
14.37612805,3.720478939,CC_DChg,2
15.42699725,3.709761465,CC_DChg,2
16.89821412,3.689857585,CC_DChg,2
18.15925715,3.674546908,CC_DChg,2
19.84064786,3.654643028,CC_DChg,2
21.10169089,3.637801283,CC_DChg,2
22.7830816,3.617897403,CC_DChg,2
24.46447231,3.597993523,CC_DChg,2
25.72551534,3.581151778,CC_DChg,2
27.40690605,3.562778966,CC_DChg,2
28.66794908,3.545937221,CC_DChg,2
30.34933979,3.526033341,CC_DChg,2
31.61038283,3.509191596,CC_DChg,2
33.29177353,3.487756648,CC_DChg,2
34.55281657,3.470914904,CC_DChg,2
35.8138596,3.454073159,CC_DChg,2
37.49525031,3.432638211,CC_DChg,2
38.75629334,3.415796467,CC_DChg,2
40.01733637,3.398954722,CC_DChg,2
41.27837941,3.38058191,CC_DChg,2
42.74959628,3.360678029,CC_DChg,2
44.22081315,3.342305217,CC_DChg,2
45.48185618,3.323932405,CC_DChg,2
46.74289921,3.30709066,CC_DChg,2
48.21411608,3.28718678,CC_DChg,2
49.68533295,3.2672829,CC_DChg,2
50.94637599,3.250441155,CC_DChg,2
52.20741902,3.23359941,CC_DChg,2
53.67863589,3.21369553,CC_DChg,2
55.14985276,3.192260583,CC_DChg,2
57.67193882,3.160108161,CC_DChg,2
59.35332953,3.138673213,CC_DChg,2
60.61437257,3.121831468,CC_DChg,2
61.8754156,3.104989724,CC_DChg,2
63.55680631,3.083554776,CC_DChg,2
64.81784934,3.066713031,CC_DChg,2
66.28906621,3.048340219,CC_DChg,2
67.55010924,3.029967406,CC_DChg,2
69.02132611,3.010063526,CC_DChg,2
70.28236915,2.993221782,CC_DChg,2
71.54341218,2.974848969,CC_DChg,2
72.80445521,2.958007225,CC_DChg,2
73.8553244,2.947289751,CC_DChg,2
75.11636744,2.933510141,CC_DChg,2
77.42827966,2.924323735,CC_DChg,2
79.95036573,2.915137329,CC_DChg,2
81.21140876,2.910544126,CC_DChg,2
82.47245179,2.905950923,CC_DChg,2
84.1538425,2.896764517,CC_DChg,2
85.41488553,2.892171314,CC_DChg,2
86.46575473,2.88757811,CC_DChg,2
88.35731927,2.878391704,CC_DChg,2
89.61836231,2.869205298,CC_DChg,2
91.29975302,2.860018892,CC_DChg,2
92.77096989,2.850832486,CC_DChg,2
94.24218676,2.841646079,CC_DChg,2
95.71340363,2.832459673,CC_DChg,2
97.1846205,2.820211132,CC_DChg,2
98.44566353,2.809493658,CC_DChg,2
100.1270542,2.791120845,CC_DChg,2
101.3880973,2.772748033,CC_DChg,2
102.4389665,2.754375221,CC_DChg,2
103.2796618,2.726816002,CC_DChg,2
104.1203572,2.69466358,CC_DChg,2
104.9610525,2.653324752,CC_DChg,2
106.0119217,2.633420872,CC_DChg,2
107.2729648,2.65485582,CC_DChg,2
108.9543555,2.667104362,CC_DChg,2
109.7950508,2.667104362,CC_DChg,2
111.4764415,2.657917956,CC_DChg,2
112.7374846,2.653324752,CC_DChg,2
113.9985276,2.644138346,CC_DChg,2
115.0493968,2.63495194,CC_DChg,2
116.3104398,2.616579128,CC_DChg,2
117.7816567,2.596675248,CC_DChg,2
119.0426997,2.5752403,CC_DChg,2
120.0935689,2.547681081,CC_DChg,2
120.9342643,2.520121863,CC_DChg,2
121.5647858,2.497155847,CC_DChg,2
122.1953073,2.465003425,CC_DChg,2
122.8258288,2.432851004,CC_DChg,2
123.2461765,2.400698582,CC_DChg,2
123.6665242,2.36854616,CC_DChg,2
124.0868719,2.327207333,CC_DChg,2
124.5072195,2.281275302,CC_DChg,2
124.9275672,2.244529677,CC_DChg,2
124.9275672,2.221563661,CC_DChg,2
