specific_capacity,voltage,direction
87.09799256,1.5937927,charge
87.56626985,1.5942242,charge
88.03455469,1.5947131,charge
88.50282813,1.5951483,charge
88.97110003,1.5956906,charge
89.43937303,1.5961031,charge
89.90764306,1.5965155,charge
90.37590883,1.5968708,charge
90.84417773,1.5973824,charge
91.31245287,1.5977567,charge
91.78072835,1.5981959,charge
92.24900156,1.5987266,charge
92.71726778,1.5990971,charge
93.18553172,1.5994905,charge
93.65378711,1.5999219,charge
94.12203708,1.6003382,charge
94.5902947,1.6007431,charge
95.05855821,1.6012127,charge
95.52682036,1.601694,charge
95.99508603,1.6021063,charge
96.46334752,1.6024997,charge
96.93160507,1.6028854,charge
97.39986575,1.6032023,charge
97.86812909,1.6035461,charge
98.33639322,1.6040235,charge
98.80465085,1.6044626,charge
99.27291433,1.604791,charge
99.74117609,1.6051654,charge
100.2094441,1.6054708,charge
100.6777152,1.6059787,charge
101.145982,1.60633,charge
101.614244,1.6067311,charge
102.0825109,1.6070557,charge
102.5507793,1.6074605,charge
103.019045,1.6077927,charge
103.4873066,1.6080981,charge
103.9555694,1.6085756,charge
104.4238331,1.6089345,charge
104.8921048,1.6092399,charge
105.3603802,1.6095952,charge
105.8286509,1.6098931,charge
106.2969294,1.6102825,charge
106.7652073,1.6106683,charge
107.2334828,1.6110539,charge
107.7017579,1.6113557,charge
108.1700271,1.6117147,charge
108.6382869,1.6120011,charge
109.1065453,1.6123791,charge
109.5748066,1.6126541,charge
110.0430678,1.6130131,charge
110.5113381,1.61333,charge
110.9796077,1.6137655,charge
111.4478818,1.6140785,charge
111.9161678,1.6143764,charge
112.3844533,1.6146322,charge
112.8527458,1.6149989,charge
113.3210376,1.6153311,charge
113.7893239,1.6156061,charge
114.2576014,1.6160835,charge
114.7258671,1.6162859,charge
115.1941304,1.6165494,charge
115.6624014,1.6168624,charge
116.1306779,1.6172367,charge
116.5989491,1.6175307,charge
117.067223,1.6178592,charge
117.5354986,1.6181381,charge
118.0037644,1.6185161,charge
118.4720282,1.6187719,charge
118.9402999,1.6190698,charge
119.4085777,1.6194479,charge
119.8768488,1.6197228,charge
120.3451224,1.620013,charge
120.8133916,1.6202612,charge
121.2816594,1.6205362,charge
121.7499451,1.6208112,charge
122.2182354,1.6211931,charge
122.6865256,1.6214298,charge
123.1548141,1.6218079,charge
123.6231016,1.6220065,charge
124.0913947,1.6222814,charge
124.5596897,1.6226213,charge
125.0279805,1.6228504,charge
125.4962828,1.6231523,charge
125.9645928,1.6236639,charge
126.4329055,1.6237518,charge
126.90121,1.6240495,charge
127.3695032,1.6241946,charge
127.837804,1.6244888,charge
128.3061108,1.6248058,charge
128.7744044,1.6251112,charge
129.2426883,1.6253556,charge
129.7109779,1.6256611,charge
130.1792598,1.6259362,charge
130.6475454,1.6261767,charge
131.1158329,1.6264288,charge
131.584119,1.6266656,charge
132.0524082,1.6269826,charge
132.5207091,1.627246,charge
132.9890032,1.6274025,charge
133.457287,1.6277577,charge
133.9255741,1.6279907,charge
134.3938559,1.6282121,charge
134.8621359,1.6285024,charge
135.3304235,1.6287353,charge
135.7987123,1.6289148,charge
136.2669947,1.6292968,charge
136.7352752,1.6296175,charge
137.2035636,1.6298656,charge
137.6718453,1.6301826,charge
138.1401221,1.6304195,charge
138.6083924,1.6304386,charge
139.0766588,1.6308395,charge
139.5449273,1.6309923,charge
140.0131991,1.6312902,charge
140.4814678,1.6314888,charge
140.9497404,1.6317217,charge
141.4180101,1.6319431,charge
141.8862775,1.6321952,charge
142.3545458,1.6324703,charge
142.8228272,1.6326765,charge
143.2911105,1.6329209,charge
143.7593882,1.6332722,charge
144.2276576,1.6334172,charge
144.6959319,1.6336503,charge
145.1642043,1.6339558,charge
145.6324749,1.6341963,charge
146.100749,1.6343529,charge
146.569026,1.6345247,charge
